Sample Number (#),Time (ms),Neck right / left lateral bending (+/-),Neck right / left rotation (+/-),Neck flexion / extension (+/-),Back right / left lateral bending (+/-),Back right / left rotation (+/-),Back flexion / extension (+/-),Shoulder (L) abduction / adduction (+/-),Shoulder (L) internal / external rotation (+/-),Shoulder (L) flexion / extension (+/-),Shoulder (R) abduction / adduction (+/-),Shoulder (R) internal / external rotation (+/-),Shoulder (R) flexion / extension (+/-),Elbow (L) supination / pronation (+/-),Elbow (L) flexion / extension (+/-),Elbow (R) supination / pronation (+/-),Elbow (R) flexion / extension (+/-),Wrist (L) flexion / extension (+/-),Wrist (L) ulnar / radial deviation (+/-),Wrist (R) flexion / extension (+/-),Wrist (R) ulnar / radial deviation (+/-),Hip (L) abduction / adduction (+/-),Hip (L) internal / external rotation (+/-),Hip (L) flexion / extension (+/-),Hip (R) abduction / adduction (+/-),Hip (R) internal / external rotation (+/-),Hip (R) flexion / extension (+/-),Knee (L) valgus / varus (+/-),Knee (L) internal / external rotation (+/-),Knee (L) flexion / extension (+/-),Knee (R) valgus / varus (+/-),Knee (R) internal / external rotation (+/-),Knee (R) flexion / extension (+/-),Ankle (L) eversion / inversion (+/-),Ankle (L) abduction / adduction (+/-),Ankle (L) dorsiflexion / plantarflexion (+/-),Ankle (R) eversion / inversion (+/-),Ankle (R) abduction / adduction (+/-),Ankle (R) dorsiflexion / plantarflexion (+/-)
1713,13.375,-2.26,28.64,-1.08,7.37,52.01,1.78,8.3,27.66,-2.96,15.46,-19.19,25.77,11.01,6.65,-12.28,-3.39,0.57,-8.83,-0.89,12.74,5.49,34.94,3.94,-13.38,-59.07,32.89,-15.37,-63.68,22.62,41.79,78.13,15.74,-1.28,-51.33,-2.4,-7.3,112.71,12.65
1714,13.3828,-2.28,28.68,-1.13,7.34,51.87,1.69,8.11,27.37,-3,15.42,-19.02,25.51,11.07,6.94,-11.96,-3.05,0.72,-8.78,-1.02,12.87,5.67,34.98,4.36,-13.53,-59.04,32.5,-16.63,-63.73,24.06,41.25,78.37,15.94,-1.65,-50.14,-4.26,-7.68,112.76,12.41
1715,13.3906,-2.3,28.7,-1.16,7.32,51.75,1.6,7.95,27.18,-3.05,15.4,-18.92,25.29,11.17,7.22,-11.64,-2.71,0.89,-8.73,-1.22,12.97,5.76,35.22,4.8,-13.76,-59.4,32.02,-17.98,-63.91,25.38,40.69,78.66,16.15,-1.9,-49,-6.22,-7.94,112.52,12.19
1716,13.3984,-2.31,28.75,-1.17,7.31,51.62,1.54,7.83,27.1,-3.11,15.4,-18.87,25.14,11.28,7.48,-11.34,-2.37,1.1,-8.66,-1.5,13.05,5.8,35.71,5.27,-14.03,-60.18,31.41,-19.37,-64.21,26.6,40.07,78.99,16.36,-2.06,-47.84,-8.14,-8.14,111.95,11.99
1717,13.4063,-2.3,28.79,-1.18,7.32,51.5,1.48,7.72,27.11,-3.2,15.41,-18.89,25.04,11.38,7.72,-11.06,-2.04,1.32,-8.57,-1.82,13.08,5.75,36.46,5.75,-14.34,-61.26,30.68,-20.69,-64.58,27.69,39.33,79.29,16.63,-2.05,-46.46,-9.95,-8.3,111.11,11.78
1718,13.4141,-2.28,28.84,-1.17,7.36,51.38,1.44,7.65,27.19,-3.3,15.43,-18.96,25.02,11.45,7.95,-10.82,-1.73,1.56,-8.48,-2.16,13.08,5.58,37.46,6.22,-14.7,-62.47,29.87,-21.92,-64.96,28.66,38.51,79.58,16.92,-1.81,-44.91,-11.55,-8.41,110.14,11.58
1719,13.4219,-2.27,28.87,-1.13,7.4,51.28,1.45,7.58,27.29,-3.41,15.45,-19.05,25.05,11.45,8.17,-10.63,-1.42,1.79,-8.38,-2.5,13.05,5.26,38.63,6.66,-15.06,-63.7,29.04,-23.06,-65.31,29.51,37.65,79.86,17.2,-1.4,-43.27,-12.81,-8.46,109.14,11.32
1720,13.4297,-2.26,28.89,-1.08,7.43,51.19,1.51,7.53,27.39,-3.52,15.45,-19.16,25.14,11.35,8.39,-10.47,-1.12,2.02,-8.28,-2.8,12.99,4.82,39.81,7.05,-15.36,-64.86,28.2,-24.04,-65.47,30.3,36.78,80.1,17.46,-1.15,-41.51,-13.55,-8.49,108.17,11.03
1721,13.4375,-2.26,28.9,-1.02,7.48,51.13,1.61,7.48,27.46,-3.62,15.44,-19.24,25.26,11.17,8.61,-10.34,-0.84,2.23,-8.17,-3.08,12.92,4.43,40.8,7.42,-15.61,-65.82,27.4,-24.71,-65.05,31.27,35.98,80.35,17.65,-1.25,-39.52,-13.81,-8.54,107.36,10.75
1722,13.4453,-2.26,28.9,-0.95,7.56,51.06,1.73,7.43,27.5,-3.7,15.41,-19.28,25.41,10.89,8.82,-10.2,-0.57,2.43,-8.07,-3.31,12.84,4.23,41.49,7.78,-15.76,-66.46,26.73,-25.04,-63.88,32.61,35.32,80.52,17.81,-1.91,-37.31,-13.73,-8.62,106.73,10.49
1723,13.4531,-2.27,28.9,-0.88,7.65,51,1.86,7.38,27.52,-3.77,15.36,-19.27,25.56,10.52,9.02,-10.04,-0.32,2.57,-7.98,-3.49,12.75,4.26,41.86,8.13,-15.84,-66.75,26.18,-25.1,-62.2,34.15,34.8,80.65,17.93,-2.9,-35.09,-13.36,-8.75,106.33,10.26
1724,13.4609,-2.28,28.89,-0.83,7.73,50.92,2.01,7.31,27.53,-3.83,15.29,-19.2,25.71,10.09,9.2,-9.86,-0.08,2.67,-7.91,-3.62,12.67,4.44,42.05,8.43,-15.9,-66.77,25.71,-24.9,-60.37,35.66,34.41,80.84,18.01,-3.01,-34.15,-13.05,-8.95,106.25,10.07
1725,13.4688,-2.29,28.89,-0.79,7.76,50.84,2.15,7.21,27.53,-3.87,15.21,-19.06,25.84,9.59,9.36,-9.68,0.15,2.73,-7.86,-3.73,12.59,4.69,42.21,8.66,-15.92,-66.62,25.3,-24.53,-58.59,37.03,34.17,81.21,17.98,-3.09,-33.37,-12.92,-9.2,106.49,9.93
1726,13.4766,-2.31,28.88,-0.78,7.75,50.74,2.29,7.1,27.51,-3.91,15.11,-18.86,25.94,9.06,9.51,-9.49,0.36,2.74,-7.82,-3.81,12.53,4.91,42.41,8.84,-15.84,-66.37,24.96,-24.13,-57.1,38.18,34.1,81.83,17.76,-3.14,-32.8,-12.84,-9.48,107,9.82
1727,13.4844,-2.31,28.82,-0.78,7.7,50.62,2.4,6.98,27.49,-3.94,15,-18.59,26.02,8.51,9.65,-9.3,0.55,2.71,-7.79,-3.89,12.49,5.08,42.66,9.01,-15.71,-66.02,24.68,-23.8,-55.97,39.09,34.11,82.59,17.43,-3.15,-32.54,-12.76,-9.79,107.71,9.72
1728,13.4922,-2.33,28.82,-0.8,7.62,50.48,2.47,6.85,27.47,-3.97,14.88,-18.25,26.08,7.94,9.79,-9.1,0.73,2.65,-7.77,-3.96,12.48,5.17,42.99,9.21,-15.58,-65.66,24.45,-23.6,-55.21,39.79,34.13,83.43,17.05,-3.19,-32.48,-12.63,-10.08,108.48,9.62
1729,13.5,-2.34,28.82,-0.84,7.49,50.31,2.48,6.72,27.45,-4,14.73,-17.85,26.12,7.39,9.93,-8.88,0.87,2.56,-7.76,-4.03,12.51,5.18,43.38,9.49,-15.44,-65.31,24.27,-23.55,-54.78,40.3,34.11,84.27,16.69,-3.22,-32.59,-12.48,-10.34,109.19,9.49
1730,13.5078,-2.34,28.84,-0.91,7.32,50.12,2.45,6.58,27.44,-4.04,14.57,-17.39,26.12,6.86,10.05,-8.61,1,2.46,-7.74,-4.1,12.57,5.13,43.79,9.85,-15.32,-64.95,24.12,-23.62,-54.58,40.67,33.96,84.96,16.46,-3.23,-32.81,-12.31,-10.57,109.73,9.32
1731,13.5156,-2.34,28.85,-1,7.12,49.9,2.35,6.43,27.43,-4.1,14.41,-16.91,26.1,6.34,10.19,-8.31,1.11,2.37,-7.73,-4.18,12.67,5.09,44.17,10.31,-15.23,-64.6,23.99,-23.78,-54.5,40.94,33.64,85.39,16.42,-3.23,-33.1,-12.1,-10.75,109.99,9.1
1732,13.5234,-2.33,28.87,-1.11,6.92,49.65,2.21,6.28,27.43,-4.15,14.23,-16.42,26.05,5.86,10.31,-8,1.21,2.31,-7.71,-4.26,12.79,5.1,44.48,10.88,-15.19,-64.26,23.87,-23.99,-54.48,41.16,33.16,85.54,16.58,-3.21,-33.42,-11.86,-10.88,109.92,8.84
1733,13.5313,-2.32,28.89,-1.23,6.71,49.36,2.06,6.13,27.43,-4.19,14.06,-15.93,25.99,5.41,10.43,-7.68,1.3,2.28,-7.68,-4.35,12.92,5.11,44.71,11.51,-15.14,-63.98,23.72,-24.26,-54.53,41.28,32.57,85.48,16.86,-3.18,-33.76,-11.59,-10.98,109.57,8.58
1734,13.5391,-2.29,28.91,-1.34,6.47,49.05,1.91,5.98,27.44,-4.22,13.9,-15.47,25.93,5.01,10.56,-7.37,1.4,2.3,-7.65,-4.44,13.06,5.06,44.88,12.15,-15.05,-63.75,23.54,-24.58,-54.67,41.26,31.92,85.36,17.16,-3.11,-34.06,-11.28,-11.07,109.04,8.3
1735,13.5469,-2.27,28.93,-1.45,6.23,48.72,1.77,5.82,27.44,-4.26,13.74,-15.04,25.85,4.64,10.69,-7.04,1.51,2.37,-7.6,-4.54,13.21,4.92,45,12.78,-14.91,-63.58,23.35,-24.93,-54.89,41.07,31.27,85.27,17.42,-3.01,-34.29,-10.93,-11.17,108.45,8.02
1736,13.5547,-2.24,28.95,-1.56,6.01,48.38,1.61,5.68,27.44,-4.3,13.59,-14.64,25.78,4.3,10.84,-6.71,1.63,2.49,-7.55,-4.66,13.36,4.73,45.11,13.42,-14.77,-63.43,23.15,-25.28,-55.19,40.71,30.63,85.27,17.6,-2.86,-34.42,-10.54,-11.29,107.89,7.74
1737,13.5625,-2.2,28.96,-1.64,5.84,48.05,1.42,5.53,27.41,-4.35,13.44,-14.25,25.73,3.98,10.99,-6.37,1.76,2.65,-7.48,-4.79,13.51,4.57,45.25,14.06,-14.67,-63.29,22.98,-25.58,-55.55,40.21,30.03,85.35,17.73,-2.67,-34.44,-10.14,-11.42,107.42,7.46
1738,13.5703,-2.17,28.97,-1.69,5.73,47.72,1.2,5.39,27.36,-4.39,13.29,-13.86,25.69,3.68,11.17,-6.01,1.89,2.84,-7.41,-4.94,13.66,4.49,45.43,14.71,-14.62,-63.14,22.83,-25.78,-55.92,39.64,29.47,85.55,17.78,-2.45,-34.35,-9.72,-11.56,107.07,7.2
1739,13.5781,-2.15,28.96,-1.71,5.65,47.41,0.97,5.27,27.28,-4.44,13.15,-13.48,25.68,3.38,11.35,-5.63,2.02,3.05,-7.33,-5.1,13.8,4.52,45.68,15.38,-14.61,-62.99,22.68,-25.9,-56.26,39.06,28.96,85.85,17.78,-2.2,-34.15,-9.27,-11.7,106.84,6.94
1740,13.5859,-2.14,28.95,-1.7,5.6,47.13,0.75,5.16,27.16,-4.5,13.03,-13.09,25.7,3.1,11.56,-5.24,2.15,3.27,-7.24,-5.26,13.93,4.64,45.98,16.06,-14.61,-62.86,22.54,-25.95,-56.59,38.48,28.5,86.25,17.74,-1.92,-33.88,-8.79,-11.85,106.73,6.7
1741,13.5938,-2.13,28.93,-1.67,5.57,46.87,0.54,5.04,27,-4.57,12.93,-12.71,25.74,2.8,11.77,-4.83,2.27,3.49,-7.14,-5.44,14.03,4.79,46.35,16.73,-14.62,-62.72,22.38,-25.98,-56.97,37.85,28.08,86.71,17.69,-1.6,-33.58,-8.28,-11.99,106.69,6.45
1742,13.6016,-2.14,28.9,-1.62,5.53,46.63,0.36,4.93,26.81,-4.64,12.83,-12.34,25.8,2.51,11.99,-4.42,2.4,3.7,-7.04,-5.61,14.11,4.95,46.78,17.4,-14.62,-62.57,22.22,-26,-57.42,37.15,27.66,87.19,17.64,-1.26,-33.27,-7.77,-12.14,106.7,6.2
1743,13.6094,-2.15,28.87,-1.55,5.48,46.41,0.21,4.82,26.6,-4.71,12.74,-11.98,25.88,2.22,12.22,-4.03,2.53,3.89,-6.94,-5.77,14.18,5.09,47.28,18.04,-14.6,-62.42,22.04,-26.03,-57.95,36.35,27.25,87.66,17.59,-0.91,-33,-7.25,-12.3,106.73,5.93
1744,13.6172,-2.18,28.84,-1.47,5.44,46.22,0.08,4.72,26.38,-4.79,12.65,-11.64,25.97,1.94,12.45,-3.66,2.67,4.05,-6.84,-5.92,14.22,5.22,47.83,18.65,-14.55,-62.26,21.85,-26.07,-58.58,35.45,26.82,88.07,17.57,-0.6,-32.8,-6.75,-12.45,106.73,5.66
1745,13.625,-2.22,28.8,-1.38,5.39,46.04,-0.03,4.62,26.16,-4.86,12.56,-11.32,26.07,1.68,12.67,-3.34,2.81,4.18,-6.76,-6.05,14.26,5.36,48.42,19.23,-14.51,-62.09,21.66,-26.1,-59.27,34.44,26.36,88.41,17.59,-0.32,-32.69,-6.27,-12.59,106.67,5.37
1746,13.6328,-2.26,28.76,-1.29,5.35,45.89,-0.13,4.51,25.95,-4.94,12.47,-11.01,26.17,1.45,12.89,-3.04,2.97,4.27,-6.69,-6.16,14.29,5.53,49.03,19.79,-14.48,-61.93,21.48,-26.09,-60.02,33.35,25.86,88.66,17.67,-0.08,-32.68,-5.84,-12.74,106.53,5.06
1747,13.6406,-2.3,28.72,-1.2,5.32,45.75,-0.21,4.39,25.77,-5.01,12.36,-10.71,26.27,1.24,13.11,-2.78,3.13,4.31,-6.63,-6.25,14.33,5.71,49.69,20.31,-14.44,-61.77,21.29,-26.04,-60.82,32.18,25.34,88.83,17.78,0.14,-32.76,-5.46,-12.9,106.33,4.73
1748,13.6484,-2.34,28.67,-1.11,5.27,45.63,-0.27,4.26,25.62,-5.07,12.25,-10.42,26.37,1.05,13.32,-2.54,3.29,4.3,-6.59,-6.33,14.36,5.91,50.39,20.82,-14.38,-61.62,21.11,-25.92,-61.63,30.97,24.79,88.95,17.91,0.33,-32.89,-5.14,-13.05,106.07,4.38
1749,13.6563,-2.38,28.63,-1.01,5.22,45.52,-0.31,4.12,25.51,-5.13,12.14,-10.11,26.47,0.89,13.51,-2.33,3.45,4.26,-6.56,-6.4,14.4,6.12,51.11,21.3,-14.29,-61.47,20.92,-25.71,-62.39,29.76,24.24,89.03,18.05,0.5,-33.05,-4.86,-13.21,105.8,4.02
1750,13.6641,-2.41,28.58,-0.93,5.17,45.42,-0.33,3.97,25.44,-5.18,12.03,-9.79,26.55,0.77,13.7,-2.13,3.61,4.19,-6.55,-6.46,14.44,6.35,51.82,21.78,-14.19,-61.34,20.71,-25.39,-63.07,28.57,23.68,89.13,18.18,0.66,-33.21,-4.64,-13.39,105.53,3.65
1751,13.6719,-2.43,28.53,-0.85,5.12,45.33,-0.34,3.82,25.41,-5.23,11.92,-9.46,26.62,0.66,13.88,-1.92,3.77,4.1,-6.53,-6.52,14.49,6.59,52.52,22.26,-14.08,-61.23,20.5,-24.97,-63.64,27.42,23.13,89.26,18.29,0.79,-33.34,-4.46,-13.57,105.29,3.26
1752,13.6797,-2.45,28.48,-0.79,5.08,45.24,-0.35,3.67,25.4,-5.27,11.82,-9.11,26.68,0.57,14.04,-1.71,3.93,3.99,-6.52,-6.58,14.54,6.84,53.18,22.75,-13.98,-61.13,20.29,-24.46,-64.1,26.3,22.59,89.43,18.39,0.87,-33.44,-4.31,-13.77,105.08,2.88
1753,13.6875,-2.46,28.42,-0.73,5.04,45.17,-0.36,3.53,25.41,-5.32,11.73,-8.74,26.73,0.49,14.19,-1.48,4.08,3.9,-6.5,-6.64,14.59,7.1,53.84,23.23,-13.88,-61.05,20.08,-23.84,-64.47,25.21,22.06,89.61,18.49,0.92,-33.5,-4.19,-13.99,104.91,2.48
1754,13.6953,-2.47,28.37,-0.69,5.02,45.1,-0.36,3.41,25.43,-5.36,11.66,-8.36,26.76,0.42,14.32,-1.23,4.23,3.82,-6.48,-6.7,14.64,7.35,54.49,23.67,-13.78,-60.97,19.86,-23.12,-64.76,24.12,21.54,89.82,18.58,0.95,-33.51,-4.11,-14.21,104.77,2.07
1755,13.7031,-2.47,28.31,-0.66,5,45.02,-0.36,3.3,25.45,-5.41,11.58,-7.97,26.77,0.36,14.43,-0.95,4.37,3.77,-6.45,-6.75,14.69,7.63,55.13,24.06,-13.69,-60.88,19.64,-22.28,-64.98,23.04,21.03,90,18.68,0.95,-33.48,-4.08,-14.45,104.63,1.66
1756,13.7109,-2.47,28.25,-0.65,4.99,44.95,-0.37,3.21,25.48,-5.46,11.51,-7.57,26.78,0.32,14.54,-0.64,4.51,3.75,-6.42,-6.79,14.74,7.97,55.7,24.42,-13.62,-60.76,19.42,-21.33,-65.09,22.01,20.53,90.16,18.81,0.92,-33.43,-4.11,-14.7,104.53,1.23
1757,13.7188,-2.47,28.19,-0.63,4.99,44.87,-0.36,3.14,25.52,-5.51,11.45,-7.18,26.78,0.29,14.64,-0.31,4.65,3.75,-6.38,-6.83,14.78,8.32,56.2,24.74,-13.58,-60.63,19.2,-20.29,-65.1,20.98,20.02,90.28,18.98,0.85,-33.36,-4.2,-14.95,104.45,0.79
1758,13.7266,-2.47,28.13,-0.61,5.01,44.8,-0.35,3.07,25.56,-5.56,11.38,-6.8,26.77,0.26,14.72,0.04,4.79,3.79,-6.33,-6.86,14.83,8.66,56.6,25.04,-13.56,-60.49,18.97,-19.19,-65.01,19.96,19.5,90.35,19.17,0.77,-33.29,-4.36,-15.19,104.36,0.34
1759,13.7344,-2.47,28.06,-0.59,5.04,44.74,-0.35,3,25.59,-5.61,11.31,-6.42,26.76,0.23,14.81,0.4,4.92,3.83,-6.28,-6.88,14.87,9.02,56.88,25.34,-13.57,-60.35,18.74,-18.03,-64.81,18.95,18.97,90.4,19.39,0.67,-33.24,-4.61,-15.44,104.29,-0.13
1760,13.7422,-2.47,27.99,-0.57,5.08,44.68,-0.36,2.93,25.63,-5.66,11.24,-6.06,26.73,0.2,14.88,0.77,5.06,3.89,-6.22,-6.91,14.91,9.38,57.08,25.64,-13.58,-60.22,18.49,-16.87,-64.57,17.94,18.4,90.44,19.61,0.52,-33.23,-4.92,-15.68,104.2,-0.62
1761,13.75,-2.47,27.93,-0.55,5.12,44.62,-0.37,2.86,25.67,-5.72,11.17,-5.72,26.7,0.17,14.94,1.14,5.2,3.95,-6.17,-6.94,14.95,9.71,57.22,25.93,-13.59,-60.12,18.25,-15.74,-64.38,16.86,17.83,90.44,19.81,0.31,-33.31,-5.27,-15.92,104.08,-1.12
1762,13.7578,-2.47,27.86,-0.52,5.17,44.56,-0.38,2.8,25.72,-5.78,11.11,-5.41,26.66,0.12,14.99,1.5,5.34,4.02,-6.11,-6.98,14.98,9.98,57.32,26.2,-13.6,-60.06,17.98,-14.65,-64.26,15.72,17.24,90.45,20,0.05,-33.51,-5.65,-16.15,103.95,-1.62
1763,13.7656,-2.47,27.79,-0.48,5.21,44.49,-0.38,2.75,25.77,-5.83,11.05,-5.12,26.63,0.05,15.02,1.85,5.46,4.08,-6.05,-7.03,15.01,10.2,57.36,26.44,-13.58,-60.02,17.69,-13.61,-64.22,14.51,16.63,90.48,20.18,-0.24,-33.83,-6.09,-16.39,103.81,-2.14
1764,13.7734,-2.48,27.73,-0.42,5.25,44.42,-0.37,2.7,25.81,-5.88,11,-4.85,26.6,-0.03,15.04,2.19,5.56,4.13,-5.98,-7.09,15.03,10.36,57.33,26.66,-13.55,-59.99,17.37,-12.58,-64.22,13.26,16.02,90.51,20.34,-0.45,-32.59,-6.63,-16.63,103.67,-2.67
1765,13.7813,-2.48,27.68,-0.36,5.29,44.34,-0.35,2.67,25.85,-5.92,10.96,-4.61,26.6,-0.12,15.05,2.5,5.63,4.17,-5.92,-7.16,15.04,10.46,57.17,26.89,-13.52,-59.96,17.04,-11.58,-64.19,12.03,15.39,90.58,20.49,-0.71,-32.99,-7.28,-16.89,103.56,-3.22
1766,13.7891,-2.49,27.63,-0.29,5.34,44.25,-0.33,2.64,25.87,-5.95,10.93,-4.39,26.61,-0.22,15.04,2.8,5.68,4.2,-5.86,-7.24,15.05,10.5,56.88,27.15,-13.48,-59.94,16.7,-10.6,-64.08,10.83,14.77,90.67,20.64,-0.97,-33.38,-8.05,-17.18,103.48,-3.78
1767,13.7969,-2.48,27.58,-0.21,5.38,44.16,-0.32,2.61,25.87,-5.98,10.93,-4.19,26.64,-0.36,15.02,3.07,5.69,4.2,-5.8,-7.31,15.05,10.43,56.48,27.43,-13.45,-59.93,16.35,-9.65,-63.86,9.65,14.16,90.79,20.79,-1.27,-33.7,-8.86,-17.49,103.42,-4.37
1768,13.8047,-2.48,27.53,-0.14,5.42,44.08,-0.31,2.58,25.86,-6.01,10.96,-3.99,26.67,-0.52,14.98,3.33,5.66,4.2,-5.75,-7.37,15.06,10.21,56.03,27.73,-13.4,-59.92,16,-8.76,-63.56,8.46,13.57,90.92,20.94,-1.61,-33.94,-9.58,-17.82,103.4,-4.97
1769,13.8125,-2.47,27.49,-0.07,5.46,43.99,-0.3,2.55,25.83,-6.03,11.03,-3.8,26.71,-0.72,14.93,3.57,5.6,4.18,-5.7,-7.43,15.06,9.82,55.55,28.03,-13.35,-59.91,15.64,-7.97,-63.19,7.24,12.98,91.06,21.11,-1.96,-34.14,-10.14,-18.17,103.38,-5.6
1770,13.8203,-2.46,27.45,0,5.48,43.92,-0.27,2.52,25.8,-6.05,11.14,-3.63,26.75,-0.93,14.86,3.78,5.51,4.16,-5.66,-7.46,15.06,9.23,55.02,28.33,-13.29,-59.91,15.27,-7.33,-62.72,5.97,12.38,91.19,21.28,-2.38,-34.34,-10.51,-18.56,103.36,-6.28
1771,13.8281,-2.46,27.42,0.07,5.5,43.85,-0.24,2.49,25.76,-6.07,11.26,-3.49,26.79,-1.16,14.79,3.95,5.4,4.14,-5.61,-7.48,15.06,8.42,54.45,28.64,-13.22,-59.93,14.89,-6.9,-62.25,4.62,11.76,91.31,21.46,-3.01,-34.65,-10.69,-18.97,103.31,-7.02
1772,13.8359,-2.45,27.4,0.13,5.53,43.79,-0.21,2.46,25.73,-6.1,11.39,-3.37,26.83,-1.41,14.71,4.09,5.27,4.13,-5.56,-7.49,15.06,7.47,53.84,28.98,-13.16,-59.94,14.51,-6.71,-61.85,3.24,11.13,91.39,21.67,-3.71,-35.07,-10.71,-19.39,103.24,-7.79
1773,13.8438,-2.44,27.38,0.18,5.56,43.73,-0.17,2.42,25.7,-6.13,11.51,-3.3,26.87,-1.66,14.63,4.17,5.12,4.13,-5.51,-7.47,15.06,6.49,53.19,29.36,-13.12,-59.96,14.12,-6.69,-61.51,1.95,10.49,91.46,21.92,-4.28,-35.61,-10.68,-19.84,103.17,-8.63
1774,13.8516,-2.43,27.37,0.24,5.58,43.67,-0.11,2.38,25.68,-6.16,11.64,-3.28,26.93,-1.9,14.55,4.2,4.96,4.13,-5.46,-7.44,15.07,5.54,52.48,29.75,-13.06,-59.96,13.7,-6.78,-61.17,0.83,9.84,91.52,22.17,-4.66,-36.18,-10.68,-20.31,103.08,-9.51
1775,13.8594,-2.42,27.36,0.28,5.61,43.62,-0.04,2.33,25.67,-6.21,11.76,-3.31,26.98,-2.14,14.49,4.17,4.79,4.15,-5.41,-7.4,15.07,4.69,51.72,30.14,-13,-59.97,13.26,-6.92,-60.74,-0.05,9.2,91.73,22.42,-4.83,-36.67,-10.73,-20.8,103.14,-10.48
1776,13.8672,-2.41,27.37,0.31,5.63,43.59,0.05,2.28,25.66,-6.26,11.86,-3.4,27.04,-2.37,14.43,4.08,4.61,4.16,-5.37,-7.35,15.07,3.95,51,30.47,-12.95,-59.99,12.79,-7.05,-60.21,-0.69,8.53,91.81,22.73,-4.89,-36.95,-10.86,-21.32,103.07,-11.48
1777,13.875,-2.41,27.37,0.34,5.66,43.57,0.16,2.22,25.65,-6.32,11.91,-3.55,27.1,-2.6,14.39,3.93,4.43,4.18,-5.33,-7.31,15.07,3.36,50.4,30.67,-12.9,-60.03,12.32,-7.14,-59.62,-1.15,7.87,91.93,23.07,-4.86,-36.97,-11.01,-21.88,103.03,-12.56
1778,13.8828,-2.42,27.38,0.36,5.68,43.53,0.28,2.16,25.63,-6.39,11.95,-3.75,27.16,-2.81,14.36,3.71,4.25,4.19,-5.29,-7.27,15.06,2.97,50,30.73,-12.84,-60.07,11.83,-7.17,-59.09,-1.4,7.23,92.1,23.41,-4.79,-36.75,-11.2,-22.48,103.04,-13.71
1779,13.8906,-2.42,27.37,0.35,5.7,43.49,0.42,2.09,25.59,-6.47,11.98,-4,27.22,-3.01,14.34,3.44,4.07,4.19,-5.25,-7.23,15.05,2.77,49.83,30.68,-12.77,-60.12,11.32,-7.17,-58.74,-1.46,6.59,92.33,23.78,-4.65,-36.4,-11.34,-23.12,103.08,-14.95
1780,13.8984,-2.42,27.36,0.32,5.71,43.44,0.56,2.01,25.53,-6.57,12.04,-4.28,27.27,-3.2,14.34,3.11,3.88,4.2,-5.22,-7.21,15.04,2.71,49.88,30.56,-12.68,-60.22,10.79,-7.21,-58.57,-1.35,5.96,92.61,24.15,-4.32,-36.09,-11.64,-23.82,103.16,-16.29
1781,13.9063,-2.42,27.33,0.28,5.75,43.45,0.67,1.93,25.43,-6.67,12.13,-4.58,27.31,-3.38,14.35,2.74,3.7,4.2,-5.18,-7.19,15.03,2.81,50.09,30.43,-12.63,-60.39,10.3,-7.24,-58.31,-1.04,5.32,92.93,24.56,-3.51,-35.82,-11.86,-24.56,103.26,-17.74
1782,13.9141,-2.44,27.3,0.22,5.86,43.5,0.69,1.85,25.29,-6.77,12.25,-4.89,27.37,-3.57,14.37,2.33,3.49,4.18,-5.15,-7.18,15.01,3.18,50.4,30.29,-12.66,-60.62,9.88,-7.16,-57.55,-0.44,4.65,93.23,25,-2.89,-35.09,-13.51,-25.35,103.36,-19.33
1783,13.9219,-2.49,27.26,0.17,5.92,43.52,0.75,1.78,25.12,-6.87,12.35,-5.19,27.48,-3.73,14.41,1.89,3.27,4.17,-5.13,-7.19,14.99,3.64,50.93,29.91,-12.69,-60.79,9.5,-7.06,-56.86,0.27,3.93,93.44,25.5,-3.71,-34.12,-16.95,-26.19,103.4,-21.06
1784,13.9297,-2.55,27.22,0.1,5.82,43.56,0.86,1.71,24.94,-6.98,12.46,-5.45,27.59,-3.85,14.46,1.48,3,4.15,-5.1,-7.23,14.95,4.3,51.91,29.2,-12.58,-60.96,9.13,-6.83,-57.26,0.89,3.19,93.67,26.04,-3.37,-33.15,-20.57,-27.05,103.47,-22.94
1785,13.9375,-2.6,27.16,-0.02,5.81,43.66,0.66,1.63,24.75,-7.15,12.57,-5.61,27.65,-3.93,14.52,1.15,2.68,4.08,-5.08,-7.32,14.89,5.4,53.06,28.71,-12.61,-61.18,9.01,-6.44,-58.37,1.57,2.5,94.02,26.57,-1.5,-33.15,-20.62,-27.98,103.69,-25
1786,13.9453,-2.68,27.1,-0.12,5.87,43.81,0.27,1.6,24.56,-7.29,12.65,-5.69,27.74,-3.96,14.56,0.91,2.33,3.97,-5.07,-7.46,14.8,6.41,54.02,28.69,-12.75,-61.49,9.12,-6.25,-58.97,2.43,1.78,94.4,27.09,-0.87,-31.4,-18.67,-28.99,104,-27.31
1787,13.9531,-2.8,27.04,-0.17,5.79,43.93,0.03,1.64,24.39,-7.35,12.67,-5.73,27.86,-3.94,14.57,0.74,1.97,3.82,-5.07,-7.64,14.69,6.84,54.68,28.89,-12.73,-61.82,9.23,-6.41,-59.01,3.34,1.02,94.8,27.62,-0.1,-29.37,-17.78,-30.1,104.37,-29.88
1788,13.9609,-2.9,26.98,-0.22,5.64,44.06,-0.2,1.69,24.27,-7.4,12.7,-5.77,27.92,-3.89,14.54,0.6,1.64,3.66,-5.07,-7.83,14.56,7.09,55.25,29.17,-12.66,-62.23,9.36,-6.83,-59.3,4.31,0.28,95.34,28.18,0.09,-28.47,-16.83,-31.27,104.91,-32.72
